Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Population, total",SP.POP.TOTL,Nepal,NPL,27823629,28966574,29475010,29715436,29694614,..
"Population, total",SP.POP.TOTL,Netherlands,NLD,16939923,17441500,17533044,17700982,17877117,..
"Population, total",SP.POP.TOTL,New Caledonia,NCL,283168,284176,285214,287123,289870,..
"Population, total",SP.POP.TOTL,New Zealand,NZL,4609400,5090200,5111300,5117200,5223100,..
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6149417,6565267,6644741,6730654,6823613,..
"Population, total",SP.POP.TOTL,Niger,NER,19939498,23717613,24502140,25311973,26159867,..
"Population, total",SP.POP.TOTL,Nigeria,NGA,190671878,213996181,218529286,223150896,227882945,..
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1912430,1856124,1837114,1831712,1827816,..
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,51514,47528,46979,46078,45143,..
"Population, total",SP.POP.TOTL,Norway,NOR,5188607,5379475,5408320,5457127,5519594,..
"Population, total",SP.POP.TOTL,Oman,OMN,4184895,4522497,4500424,4730226,5049269,..
"Population, total",SP.POP.TOTL,Pakistan,PAK,217290883,235001746,239477801,243700667,247504495,..
"Population, total",SP.POP.TOTL,Palau,PLW,17770,17792,17783,17759,17727,..
"Population, total",SP.POP.TOTL,Panama,PAN,3960035,4293261,4345405,4400773,4458759,..
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8743246,9815746,10012896,10203169,10389635,..
"Population, total",SP.POP.TOTL,Paraguay,PRY,6159103,6603739,6684182,6760464,6844146,..
"Population, total",SP.POP.TOTL,Peru,PER,30457600,32838579,33155882,33475438,33845617,..
"Population, total",SP.POP.TOTL,Philippines,PHL,105312992,112081264,113100950,113964338,114891199,..
"Population, total",SP.POP.TOTL,Poland,POL,37986412,37899070,36981559,36821749,36687353,..
"Population, total",SP.POP.TOTL,Portugal,PRT,10358076,10297081,10361831,10434332,10578174,..
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3473232,3281557,3262693,3220113,3205691,..
